Service Line,Number of Shipments,Late time,Number of late departure
Barge01,331,37,3
Barge02,0,0,0
Barge03,53,0,0
Barge04,54,0,0
Barge05,8,388,2
Barge06,37,517,2
Barge07,7,0,0
Barge08,20,0,0
Barge09,0,0,0
Barge10,0,0,0
Barge11,0,0,0
Barge12,0,0,0
Barge13,0,0,0
Barge14,0,0,0
Barge15,0,0,0
Barge16,0,0,0
Barge17,220,518,2
Barge18,113,0,0
Barge19,85,418,1
Barge20,44,17,1
Barge21,131,262,1
Barge22,22,0,0
Barge23,148,6,1
Barge24,34,0,0
Barge25,0,0,0
Barge26,358,91,3
Barge27,52,0,0
Barge28,23,0,0
Barge29,0,0,0
Barge30,0,0,0
Barge31,310,644,3
Barge32,24,0,0
Barge33,153,0,0
Barge34,0,0,0
Barge35,145,0,0
Barge36,152,35,1
Barge37,36,0,0
Barge38,9,0,0
Barge39,439,145,3
Barge40,56,2696,1
Barge41,59,0,0
Barge42,0,0,0
Barge43,0,237,1
Barge44,0,0,0
Barge45,319,74,2
Barge46,11,0,0
Barge47,50,0,0
Barge48,333,286,2
Barge49,14,0,0
Train01,0,0,0
Train02,0,0,0
Train03,0,0,0
Train04,0,0,0
Train05,0,0,0
Train06,0,0,0
Train07,0,0,0
Train08,0,0,0
Train09,0,0,0
Train10,0,0,0
Train11,11,0,0
Train12,0,0,0
Train13,0,0,0
Train14,28,0,0
Train15,210,0,0
Train16,30,0,0
Train17,0,0,0
Train18,0,0,0
Train19,0,0,0
Train20,0,0,0
Train21,0,0,0
Train22,0,0,0
Train23,20,0,0
Train24,43,0,0
Train25,0,0,0
Train26,14,0,0
Train27,0,0,0
Train28,28,0,0
Train29,6,144,1
Train30,159,0,1
Train31,220,0,0
Train32,228,150,1
Train33,223,275,1
Truck1,0,0,0
Truck2,0,0,0
Truck3,0,0,0
Truck4,0,0,0
Truck5,0,0,0
Truck6,0,0,0
Truck7,0,0,0
Truck8,0,0,0
Truck9,0,0,0
Truck10,0,0,0
Truck11,0,0,0
Truck12,0,0,0
Truck13,0,0,0
Truck14,0,0,0
Truck15,0,0,0
Truck16,0,0,0
Truck17,0,0,0
Truck18,0,0,0
Truck19,0,0,0
Truck20,0,0,0
Truck21,0,0,0
Truck22,0,0,0
Truck23,0,0,0
Truck24,0,0,0
Truck25,0,0,0
Truck26,0,0,0
Truck27,0,0,0
Truck28,0,0,0
Truck29,19,0,0
Truck30,21,66,1
Truck31,17,0,0
Truck32,7,0,0
Truck33,7,0,0
Truck34,0,0,0
